Kategori;Merek;Tahun;Mesin;Tenaga (BHP);Torsi (lb⋅ft);Berat (lbs);Source URL,,
Classic Muscle;Chevrolet;1960s;6.0L to 6.9L Displacement, V8;300 to 399 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Chevrolet_Nova_Super_Sport_396,
Classic Muscle;Plymouth;1960s;7.0L to 7.9L Displacement, V8;300 to 399 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Plymouth_Belvedere,
Classic Muscle;Ford;1970s;7.0L to 7.9L Displacement, V8;300 to 399 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Ford_Mustang_Mach_1,
Classic Muscle;Pontiac;1960s;6.0L to 6.9L Displacement, V8;300 to 399 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Pontiac_GTO_Judge,
Classic Muscle;Chevrolet;1960s;7.0L to 7.9L Displacement, V8;400 to 499 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Chevrolet_Corvette_Stingray_427,
Classic Muscle;Ford;1960s;6.0L to 6.9L Displacement, V8;300 to 399 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Ford_Mustang_GT_2%2B2_Fastback,
Classic Muscle;AMC;1970s;6.0L to 6.9L Displacement, V8;300 to 399 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/AMC_Javelin_AMX,
Classic Muscle;Chevrolet;1960s;6.0L to 6.9L Displacement, V8;300 to 399 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Chevrolet_Camaro_Super_Sport_Coupe,
Classic Muscle;Fast;1970s;7.0L to 7.9L Displacement, V8;900 to 999 bhp;900 to 999 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Fast_and_Furious_Dodge_Charger_%27Fast_X%27,
Classic Racers;Ferrari;1960s;3.0L to 3.9L Displacement;300 to 399 bhp;200 to 299 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Ferrari_250_GTO_(1962),,
Classic Racers;Jaguar;1960s;5.0L to 5.9L Displacement;500 to 599 bhp;300 to 399 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Jaguar_XJ13,,
Classic Racers;Ferrari;1950s;3.0L to 3.9L Displacement;300 to 399 bhp;200 to 299 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Ferrari_250_Testa_Rossa,,
Classic Racers;Ford;1960s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Ford_Lotus_Cortina,,
Classic Racers;Jaguar;1950s;3.0L to 3.9L Displacement;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Jaguar_Mk_II_3.8,,
Classic Racers;Aston;1950s;3.0L to 3.9L Displacement;200 to 299 bhp;200 to 299 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Aston_Martin_DBR1,,
Classic Racers;Porsche;1960s;2.0L to 2.9L Displacement;200 to 299 bhp;100 to 199 lb⋅ft;1000 to 1499 lbs;https://forza.fandom.com/wiki/Porsche_906_Carrera_6,,
Classic Racers;Lola;1960s;5.0L to 5.9L Displacement, V8;400 to 499 bhp;300 to 399 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Lola_6_Penske_Sunoco_T70_MkIIIB,
Classic Racers;Ferrari;1970s;5.0L to 5.9L Displacement;500 to 599 bhp;300 to 399 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Ferrari_512_S,,
Classic Racers;Alfa;1960s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;1000 to 1499 lbs;https://forza.fandom.com/wiki/Alfa_Romeo_Giulia_TZ2,,
Classic Racers;Porsche;1970s;4.0L to 4.9L Displacement;600 to 699 bhp;400 to 499 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Porsche_3_917_LH,,
Classic Racers;Ferrari;1960s;4.0L to 4.9L Displacement;400 to 499 bhp;300 to 399 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Ferrari_24_Ferrari_Spa_330_P4,,
Classic Racers;Ford;1960s;4.0L to 4.9L Displacement, V8;300 to 399 bhp;300 to 399 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Ford_GT40_Mk_I,
Classic Racers;Mercedes-Benz;1950s;3.0L to 3.9L Displacement;300 to 399 bhp;200 to 299 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Mercedes-Benz_300_SLR,,
Classic Racers;Jaguar;1950s;3.0L to 3.9L Displacement;200 to 299 bhp;200 to 299 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Jaguar_C-Type,,
Classic Racers;Ford;1960s;7.0L to 7.9L Displacement, V8;400 to 499 bhp;400 to 499 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ford_GT40_Mk_II,
Classic Racers;Porsche;1950s;1.0L to 1.9L Displacement;100 to 199 bhp;0 to 99 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Porsche_550A_Spyder,,
Classic Racers;Jaguar;1950s;3.0L to 3.9L Displacement;200 to 299 bhp;200 to 299 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Jaguar_D-Type,,
Classic Racers;Jaguar;1960s;3.0L to 3.9L Displacement;300 to 399 bhp;300 to 399 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Jaguar_Lightweight_E-Type,,
Classic Racers;Porsche;1970s;4.0L to 4.9L Displacement;600 to 699 bhp;400 to 499 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Porsche_23_917/20,,
Classic Racers;Shelby;1960s;4.0L to 4.9L Displacement, V8;300 to 399 bhp;300 to 399 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Shelby_Cobra_Daytona_Coup%C3%A9,
Classic Racers;Porsche;1950s;1.0L to 1.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;1000 to 1499 lbs;https://forza.fandom.com/wiki/Porsche_46_356_SL_Gm%C3%BCnd_Coupe,,
Classic Racers;Chevrolet;1950s;3.0L to 3.9L Displacement;100 to 199 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Chevrolet_Corvette_(1953),,
Classic Racers;Alfa;1960s;2.0L to 2.9L Displacement, V8;200 to 299 bhp;100 to 199 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Alfa_Romeo_33_Stradale,
Classic Rally;Renault;1960s;1.0L to 1.9L Displacement;100 to 199 bhp;0 to 99 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Renault_8_Gordini,,
Classic Rally;Alpine;1970s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Alpine_A110_1600s,,
Classic Rally;Ford;1970s;2.0L to 2.9L Displacement;200 to 299 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Ford_5_Escort_RS1800_MK_II,,
Classic Rally;MINI;1960s;1.0L to 1.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;1000 to 1499 lbs;https://forza.fandom.com/wiki/MINI_Cooper_S,,
Classic Rally;Ford;1970s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Ford_Escort_RS1800,,
Classic Rally;Abarth;1980s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Abarth_Fiat_131,,
Classic Rally;Ford;1970s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Ford_Escort_RS1600,,
Classic Rally;Ford;1960s;1.0L to 1.9L Displacement;200 to 299 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Ford_Racing_Escort_Mk1,,
Classic Rally;Lancia;1970s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Lancia_Stratos_HF_Stradale,,
Classic Rally;Volvo;1980s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Volvo_242_Turbo_Evolution,
Classic Rally;Lancia;1960s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Lancia_Fulvia_Coup%C3%A9_Rallye_1.6_HF,,
Classic Rally;Ford;1970s;2.0L to 2.9L Displacement;200 to 299 bhp;100 to 199 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Ford_GT70,,
Classic Sports Cars;Austin-Healey;1950s;0.0L to 0.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;1000 to 1499 lbs;https://forza.fandom.com/wiki/Austin-Healey_Sprite_MkI,,
Classic Sports Cars;Chevrolet;1960s;4.0L to 4.9L Displacement, V8;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Chevrolet_Corvette_(1960),
Classic Sports Cars;FIAT;1960s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/FIAT_Dino_2.4_Coupe,,
Classic Sports Cars;FIAT;1980s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/FIAT_124_Sport_Spider,,
Classic Sports Cars;Toyota;1960s;0.0L to 0.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;1000 to 1499 lbs;https://forza.fandom.com/wiki/Toyota_Sports_800,,
Classic Sports Cars;Nissan;1970s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Nissan_Skyline_2000GT-R,,
Classic Sports Cars;Nissan;1970s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Nissan_Skyline_H/T_2000GT-R,,
Classic Sports Cars;Porsche;1970s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Porsche_914/6,,
Classic Sports Cars;Porsche;1960s;2.0L to 2.9L Displacement;200 to 299 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Porsche_356_C_Cabriolet_Emory_Special,,
Classic Sports Cars;Volkswagen;1970s;1.0L to 1.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Volkswagen_SP-2,,
Classic Sports Cars;Nissan;1960s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Nissan_Fairlady_Z_432,,
Classic Sports Cars;Fast;1970s;2.0L to 2.9L Displacement, Turbocharged;700 to 799 bhp;500 to 599 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Fast_and_Furious_Datsun_240Z_%27Fast_X%27,
Classic Sports Cars;Toyota;1970s;2.0L to 2.9L Displacement;0 to 99 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Toyota_Celica_GT,,
Classic Sports Cars;Ford;1970s;3.0L to 3.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Ford_Capri_RS3100,,
Classic Sports Cars;BMW;1970s;2.0L to 2.9L Displacement, Turbocharged;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/BMW_2002_Turbo,
Classic Sports Cars;Lotus;1970s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Lotus_Elan_Sprint,,
Cult Cars;Toyota;1990s;1.0L to 1.9L Displacement;100 to 199 bhp;0 to 99 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Toyota_Sera,,
Cult Cars;Meyers;1970s;1.0L to 1.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;1000 to 1499 lbs;https://forza.fandom.com/wiki/Meyers_Manx,,
Cult Cars;Nissan;1980s;1.0L to 1.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Nissan_Be-1,,
Cult Cars;Volkswagen;1970s;1.0L to 1.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Volkswagen_Thing,,
Cult Cars;Renault;1960s;0.0L to 0.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;1000 to 1499 lbs;https://forza.fandom.com/wiki/Renault_4L_Export,,
Cult Cars;Universal;1980s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Universal_Studios_Back_to_the_Future_Time_Machine_1,,
Cult Cars;AMC;1970s;5.0L to 5.9L Displacement, V8;100 to 199 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/AMC_Gremlin_X,
Cult Cars;Peel;1960s;0.0L to 0.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;0 to 499 lbs;https://forza.fandom.com/wiki/Peel_Trident,,
Cult Cars;Reliant;1970s;0.0L to 0.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;1000 to 1499 lbs;https://forza.fandom.com/wiki/Reliant_Supervan_III,,
Cult Cars;Nissan;1980s;1.0L to 1.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Nissan_Pao,,
Cult Cars;BMW;1950s;0.0L to 0.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;500 to 999 lbs;https://forza.fandom.com/wiki/BMW_Isetta_300_Export,,
Cult Cars;Morris;1950s;1.0L to 1.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Morris_Minor_1000,,
Cult Cars;Ford;1950s;1.0L to 1.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Ford_Anglia_105E,,
Cult Cars;Nissan;1980s;1.0L to 1.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Nissan_S-Cargo,,
Cult Cars;Peel;1960s;0.0L to 0.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;0 to 499 lbs;https://forza.fandom.com/wiki/Peel_P50,,
Cult Cars;Citroën;1970s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Citro%C3%ABn_DS_23,,
Cult Cars;Universal;1980s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Universal_Studios_Back_to_the_Future_Time_Machine_3,,
Cult Cars;Nissan;1990s;1.0L to 1.9L Displacement, Turbocharged;0 to 99 bhp;0 to 99 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Nissan_Figaro,
Cult Cars;Universal;1980s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Universal_Studios_Back_to_the_Future_Time_Machine_2,,
Cult Cars;Volkswagen;1960s;1.0L to 1.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Volkswagen_Type_2_De_Luxe,,
Cult Cars;Volkswagen;1960s;1.0L to 1.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Volkswagen_Beetle_(1963),,
Cult Cars;Abarth;1960s;0.0L to 0.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;1000 to 1499 lbs;https://forza.fandom.com/wiki/Abarth_595_esseesse,,
Cult Cars;Morgan;2010s;2.0L to 2.9L Displacement;0 to 99 bhp;100 to 199 lb⋅ft;1000 to 1499 lbs;https://forza.fandom.com/wiki/Morgan_3_Wheeler,,
Cult Cars;Datsun;1970s;1.0L to 1.9L Displacement;0 to 99 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Datsun_510,,
Drift Cars;Formula;2010s;4.0L to 4.9L Displacement, Twin-Turbocharged;1000 to 1099 bhp;800 to 899 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Formula_Drift_64_Nissan_370Z,
Drift Cars;Formula;2010s;7.0L to 7.9L Displacement, V8;1000 to 1099 bhp;800 to 899 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Formula_Drift_777_Chevrolet_Corvette,
Drift Cars;Formula;2020s;3.0L to 3.9L Displacement, Turbocharged;1000 to 1099 bhp;900 to 999 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Formula_Drift_151_Toyota_GR_Supra,
Drift Cars;Formula;2000s;8.0L to 8.9L Displacement, Twin-Turbocharged;1300 to 1399 bhp;1400 to 1499 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Formula_Drift_43_Dodge_Viper_SRT10,
Drift Cars;Hoonigan;1970s;3.0L to 3.9L Displacement, Twin-Turbocharged;900 to 999 bhp;700 to 799 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Hoonigan_GYMKHANA_10_Ford_F-150_%27Hoonitruck%27,
Drift Cars;Formula;2000s;2.0L to 2.9L Displacement, Turbocharged;1000 to 1099 bhp;500 to 599 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Formula_Drift_99_Mazda_RX-8,
Drift Cars;Formula;1990s;7.0L to 7.9L Displacement, V8;1200 to 1299 bhp;1100 to 1199 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Formula_Drift_777_Nissan_240SX,
Drift Cars;Formula;2020s;6.0L to 6.9L Displacement, V8;800 to 899 bhp;600 to 699 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Formula_Drift_91_BMW_M2,
Drift Cars;Formula;1980s;6.0L to 6.9L Displacement, V8;700 to 799 bhp;700 to 799 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Formula_Drift_98_BMW_325i,
Drift Cars;Forsberg;2020s;4.0L to 4.9L Displacement, Twin-Turbocharged;1300 to 1399 bhp;1000 to 1099 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Forsberg_Racing_Nissan_%27Altimaniac%27,
Drift Cars;Hoonigan;1960s;6.0L to 6.9L Displacement, Twin-Turbocharged, V8;1400 to 1499 bhp;1200 to 1299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Hoonigan_GYMKHANA_10_Ford_Hoonicorn_Mustang
Drift Cars;Formula;2010s;5.0L to 5.9L Displacement, V8;900 to 999 bhp;800 to 899 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Formula_Drift_13_Ford_Mustang,
Drift Cars;Formula;2010s;6.0L to 6.9L Displacement, V8;1000 to 1099 bhp;900 to 999 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Formula_Drift_530_HSV_Maloo_Gen-F,
Drift Cars;Formula;1990s;6.0L to 6.9L Displacement, V8;800 to 899 bhp;800 to 899 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Formula_Drift_51_Donut_Media_Nissan_240SX,
Drift Cars;Formula;2010s;6.0L to 6.9L Displacement, V8;800 to 899 bhp;800 to 899 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Formula_Drift_357_Chevrolet_Corvette_Z06,
Drift Cars;Formula;2020s;3.0L to 3.9L Displacement, Twin-Turbocharged;1300 to 1399 bhp;1300 to 1399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Formula_Drift_64_Forsberg_Racing_Nissan_Z,
